# time,freq,temptime,freq,temp
1488235423.98,10140572,32.0
1488235424.98,10140570,32.0
1488235425.98,10140573,32.0
1488235426.98,10140570,32.0
1488235427.98,10140572,32.0
1488235435.89,10140570,32.0
1488235436.55,10140572,32.0
1488235437.20,10140571,32.0
1488235437.84,10140572,32.0
1488235438.47,10140571,32.0
1488235439.10,10140572,32.0
1488235439.73,10140571,32.0
1488235440.37,10140572,32.0
1488235441.01,10140571,32.0
1488235441.65,10140572,32.0
1488235442.29,10140571,32.0
1488235442.92,10140573,32.0
1488235443.55,10140571,32.0
1488235444.20,10140573,32.0
1488235444.84,10140570,32.0
1488235445.47,10140573,32.0
1488235446.11,10140571,32.0
1488235446.74,10140573,32.0
1488235447.38,10140571,32.0
1488235448.00,10140574,32.0
1488235448.98,10140571,32.0
1488235449.98,10140573,32.0
1488235450.99,10140571,32.0
1488235451.98,10140573,32.0
1488235452.98,10140572,32.0
1488235453.98,10140573,32.0
1488235454.99,10140571,32.0
1488235455.97,10140574,32.0
1488235456.97,10140571,32.0
1488235457.98,10140574,32.0
1488235458.98,10140571,32.0
1488235460.00,10140574,32.0
1488235460.99,10140572,32.0
1488235461.98,10140573,32.0
1488235463.00,10140572,32.0
1488235464.00,10140574,32.0
1488235465.00,10140571,32.0
1488235465.97,10140574,32.0
1488235466.97,10140572,32.0
1488235467.98,10140574,32.0
1488235468.99,10140572,32.0
1488235469.97,10140574,32.0
1488235470.98,10140571,32.0
1488235471.97,10140574,32.0
1488235472.98,10140572,32.0
1488235474.00,10140575,32.0
1488235474.97,10140572,32.0
1488235475.99,10140574,32.0
1488235476.99,10140572,32.0
1488235478.00,10140574,32.0
1488235478.99,10140572,32.0
1488235479.98,10140574,32.0
1488235480.98,10140573,32.0
1488235481.98,10140574,32.0
1488235482.98,10140572,32.0
1488235483.98,10140575,32.0
1488235484.99,10140572,32.0
1488235485.98,10140574,32.0
1488235486.98,10140573,32.0
1488235487.99,10140574,32.0
1488235489.00,10140573,32.0
1488235489.98,10140574,32.0
1488235490.99,10140573,32.0
1488235491.99,10140574,32.0
1488235492.98,10140573,32.0
1488235493.99,10140574,32.0
1488235494.99,10140573,32.0
1488235495.99,10140575,32.0
